register: 0xdf400000 value: 0x00029A01
register: 0xdf400004 value: 0x00000200
register: 0xdf400008 value: 0x00000001
register: 0xdf400100 value: 0x0202027C
register: 0xdf400104 value: 0x100A0032
register: 0xdf400108 value: 0x00000000
register: 0xdf40010C value: 0x08050111
register: 0xdf400110 value: 0x00000001
register: 0xdf400114 value: 0x00000000
register: 0xdf400118 value: 0x00000000
register: 0xdf40011C value: 0x00000000
register: 0xdf400120 value: 0x00000000
register: 0xdf400124 value: 0x00000000
register: 0xdf400128 value: 0x00000000
register: 0xdf40012C value: 0x00000000
register: 0xdf400130 value: 0x00000000
register: 0xdf400134 value: 0x00000000
register: 0xdf400138 value: 0x00000000
register: 0xdf40013C value: 0x00000000
register: 0xdf400150 value: 0x00000000
register: 0xdf400170 value: 0x00000000
register: 0xdf400180 value: 0x00000000
register: 0xdf400184 value: 0x00000000
register: 0xdf400188 value: 0x00000000
register: 0xdf40018C value: 0x00000000
register: 0xdf400190 value: 0x00000000
register: 0xdf400194 value: 0x00000000
register: 0xdf400198 value: 0x00000000
register: 0xdf40019C value: 0x00000000
register: 0xdf4001A0 value: 0x00000000
register: 0xdf4001A4 value: 0x00000000
register: 0xdf4001A8 value: 0x00000000
register: 0xdf4001AC value: 0x00000000
register: 0xdf4001B0 value: 0x00000000
register: 0xdf4001B4 value: 0x00000000
register: 0xdf4001B8 value: 0x00000000
register: 0xdf4001BC value: 0x00000000
register: 0xdf4001D0 value: 0x00000000
register: 0xdf4001F0 value: 0x00000000
register: 0xdf400200 value: 0x00000000
register: 0xdf400204 value: 0x00000000
register: 0xdf400208 value: 0x00000000
register: 0xdf40020C value: 0x00000000
register: 0xdf400210 value: 0x00000000
register: 0xdf400214 value: 0x00000000
register: 0xdf400218 value: 0x00000000
register: 0xdf40021C value: 0x00000000
register: 0xdf400220 value: 0x00000000
register: 0xdf400224 value: 0x00000000
register: 0xdf400228 value: 0x00000000
register: 0xdf40022C value: 0x00000000
register: 0xdf400230 value: 0x00000000
register: 0xdf400234 value: 0x00000000
register: 0xdf400238 value: 0x00000000
register: 0xdf40023C value: 0x00000000
register: 0xdf400280 value: 0x00000000
register: 0xdf400284 value: 0x00000000
register: 0xdf400288 value: 0x00000000
register: 0xdf40028C value: 0x00000000
register: 0xdf400290 value: 0x00000000
register: 0xdf400294 value: 0x00000000
register: 0xdf400298 value: 0x00000000
register: 0xdf40029C value: 0x00000000
register: 0xdf4002A0 value: 0x00000000
register: 0xdf4002A4 value: 0x00000000
register: 0xdf4002A8 value: 0x00000000
register: 0xdf4002AC value: 0x00000000
register: 0xdf4002B0 value: 0x00000000
register: 0xdf4002B4 value: 0x00000000
register: 0xdf4002B8 value: 0x00000000
register: 0xdf4002BC value: 0x00000000
register:  value:
